BE/eV,InPET_C1s
299.300817131996,324.2826
299.250817131996,352.4358
299.200817131996,342.0087
299.150817131996,342.0087
299.100817131996,326.368
299.050817131996,356.6066
299.000817131996,344.0941
298.950817131996,332.6243
298.900817131996,332.6243
298.850817131996,329.4962
298.800817131996,339.9232
298.750817131996,328.4535
298.700817131996,304.4711
298.650817131996,326.368
298.600817131996,338.8806
298.550817131996,328.4535
298.500817131996,312.8128
298.450817131996,322.1972
298.400817131996,321.1545
298.350817131996,335.7524
298.300817131996,293.0013
298.250817131996,306.5565
298.200817131996,305.5139
298.150817131996,315.9409
298.100817131996,311.7701
298.050817131996,276.318
298.000817131996,297.1722
297.950817131996,296.1295
297.900817131996,250.2503
297.850817131996,286.7451
297.800817131996,309.6847
297.750817131996,303.4284
297.700817131996,301.343
297.650817131996,294.044
297.600817131996,282.5742
297.550817131996,293.0013
297.500817131996,269.019
297.450817131996,297.1722
297.400817131996,279.4461
297.350817131996,295.0868
297.300817131996,302.3857
297.250817131996,284.6597
297.200817131996,262.7628
297.150817131996,265.8909
297.100817131996,277.3607
297.050817131996,287.7878
297.000817131996,303.4284
296.950817131996,270.0617
296.900817131996,262.7628
296.850817131996,273.1898
296.800817131996,280.4888
296.750817131996,254.4211
296.700817131996,282.5742
296.650817131996,274.2326
296.600817131996,272.1472
296.550817131996,275.2753
296.500817131996,249.2076
296.450817131996,274.2326
296.400817131996,322.1972
296.350817131996,284.6597
296.300817131996,325.3253
296.250817131996,252.3357
296.200817131996,293.0013
296.150817131996,272.1472
296.100817131996,278.4034
296.050817131996,275.2753
296.000817131996,276.318
295.950817131996,296.1295
295.900817131996,259.6346
295.850817131996,303.4284
295.800817131996,293.0013
295.750817131996,293.0013
295.700817131996,298.2149
295.650817131996,298.2149
295.600817131996,303.4284
295.550817131996,299.2576
295.500817131996,308.642
295.450817131996,310.7274
295.400817131996,310.7274
295.350817131996,308.642
295.300817131996,305.5139
295.250817131996,298.2149
295.200817131996,285.7024
295.150817131996,291.9586
295.100817131996,263.8055
295.050817131996,318.0264
295.000817131996,297.1722
294.950817131996,283.6169
294.900817131996,304.4711
294.850817131996,315.9409
294.800817131996,272.1472
294.750817131996,300.3003
294.700817131996,284.6597
294.650817131996,263.8055
294.600817131996,281.5315
294.550817131996,271.1044
294.500817131996,283.6169
294.450817131996,282.5742
294.400817131996,261.7201
294.350817131996,299.2576
294.300817131996,287.7878
294.250817131996,258.5919
294.200817131996,280.4888
294.150817131996,276.318
294.100817131996,275.2753
294.050817131996,279.4461
294.000817131996,263.8055
293.950817131996,270.0617
293.900817131996,274.2326
293.850817131996,265.8909
293.800817131996,278.4034
293.750817131996,306.5565
293.700817131996,259.6346
293.650817131996,281.5315
293.600817131996,265.8909
293.550817131996,255.4638
293.500817131996,255.4638
293.450817131996,289.8732
293.400817131996,264.8482
293.350817131996,282.5742
293.300817131996,288.8305
293.250817131996,278.4034
293.200817131996,284.6597
293.150817131996,280.4888
293.100817131996,246.0794
293.050817131996,283.6169
293.000817131996,301.343
292.950817131996,271.1044
292.900817131996,252.3357
292.850817131996,273.1898
292.800817131996,279.4461
292.750817131996,258.5919
292.700817131996,258.5919
292.650817131996,293.0013
292.600817131996,315.9409
292.550817131996,286.7451
292.500817131996,314.8982
292.450817131996,294.044
292.400817131996,308.642
292.350817131996,306.5565
292.300817131996,280.4888
292.250817131996,325.3253
292.200817131996,329.4962
292.150817131996,318.0264
292.100817131996,333.667
292.050817131996,308.642
292.000817131996,325.3253
291.950817131996,349.3076
291.900817131996,303.4284
291.850817131996,356.6066
291.800817131996,311.7701
291.750817131996,319.0691
291.700817131996,342.0087
291.650817131996,349.3076
291.600817131996,364.9483
291.550817131996,398.315
291.500817131996,303.4284
291.450817131996,342.0087
291.400817131996,350.3503
291.350817131996,352.4358
291.300817131996,357.6493
291.250817131996,339.9232
291.200817131996,367.0337
291.150817131996,357.6493
291.100817131996,364.9483
291.050817131996,325.3253
291.000817131996,340.966
290.950817131996,367.0337
290.900817131996,362.8629
290.850817131996,381.6316
290.800817131996,367.0337
290.750817131996,353.4785
290.700817131996,342.0087
290.650817131996,352.4358
290.600817131996,353.4785
290.550817131996,297.1722
290.500817131996,345.1368
290.450817131996,291.9586
290.400817131996,325.3253
290.350817131996,326.368
290.300817131996,305.5139
290.250817131996,308.642
290.200817131996,299.2576
290.150817131996,294.044
290.100817131996,316.9836
290.050817131996,278.4034
290.000817131996,323.2399
289.950817131996,296.1295
289.900817131996,318.0264
289.850817131996,296.1295
289.800817131996,288.8305
289.750817131996,281.5315
289.700817131996,280.4888
289.650817131996,351.3931
289.600817131996,323.2399
289.550817131996,314.8982
289.500817131996,364.9483
289.450817131996,339.9232
289.400817131996,389.9733
289.350817131996,380.5889
289.300817131996,470.2619
289.250817131996,506.7568
289.200817131996,572.4474
289.150817131996,680.8892
289.100817131996,761.1779
289.050817131996,817.4842
289.000817131996,877.9613
288.950817131996,1026.026
288.900817131996,1096.9303
288.850817131996,1191.8169
288.800817131996,1301.3013
288.750817131996,1370.1201
288.700817131996,1484.8181
288.650817131996,1597.4308
288.600817131996,1507.7578
288.550817131996,1557.8079
288.500817131996,1593.26
288.450817131996,1518.1848
288.400817131996,1472.3057
288.350817131996,1357.6077
288.300817131996,1290.8743
288.250817131996,1202.2439
288.200817131996,1046.8802
288.150817131996,985.3604
288.100817131996,820.6123
288.050817131996,668.3767
288.000817131996,560.9777
287.950817131996,506.7568
287.900817131996,459.8348
287.850817131996,392.0587
287.800817131996,327.4107
287.750817131996,358.692
287.700817131996,279.4461
287.650817131996,259.6346
287.600817131996,223.1398
287.550817131996,243.994
287.500817131996,206.4565
287.450817131996,211.67
287.400817131996,218.969
287.350817131996,218.969
287.300817131996,240.8659
287.250817131996,294.044
287.200817131996,333.667
287.150817131996,330.5389
287.100817131996,389.9733
287.050817131996,379.5462
287.000817131996,457.7494
286.950817131996,511.9703
286.900817131996,559.9349
286.850817131996,597.4725
286.800817131996,688.1882
286.750817131996,712.1705
286.700817131996,795.5873
286.650817131996,838.3384
286.600817131996,940.5239
286.550817131996,1053.1365
286.500817131996,1161.5782
286.450817131996,1190.7742
286.400817131996,1264.8065
286.350817131996,1303.3867
286.300817131996,1378.4618
286.250817131996,1431.64
286.200817131996,1415.9994
286.150817131996,1505.6724
286.100817131996,1409.743
286.050817131996,1438.939
286.000817131996,1447.2806
285.950817131996,1366.9921
285.900817131996,1289.8315
285.850817131996,1292.9596
285.800817131996,1188.6887
285.750817131996,1137.5959
285.700817131996,1093.8021
285.650817131996,1085.4604
285.600817131996,1005.1719
285.550817131996,1087.5459
285.500817131996,1070.8625
285.450817131996,1141.7667
285.400817131996,1188.6887
285.350817131996,1325.2837
285.300817131996,1346.1378
285.250817131996,1539.0391
285.200817131996,1781.9904
285.150817131996,1956.1228
285.100817131996,2214.7148
285.050817131996,2496.2463
285.000817131996,2673.5068
284.950817131996,2833.0415
284.900817131996,3229.271
284.850817131996,3359.6096
284.800817131996,3449.2827
284.750817131996,3617.1589
284.700817131996,3875.7507
284.650817131996,3776.6934
284.600817131996,3887.2207
284.550817131996,3847.5977
284.500817131996,3831.957
284.450817131996,3671.3799
284.400817131996,3416.9587
284.350817131996,3259.5095
284.300817131996,2971.7217
284.250817131996,2768.3936
284.200817131996,2651.6099
284.150817131996,2242.8679
284.100817131996,1978.0198
284.050817131996,1698.5736
284.000817131996,1468.1348
283.950817131996,1261.6783
283.900817131996,1068.7771
283.850817131996,883.1749
283.800817131996,753.8789
283.750817131996,629.7964
283.700817131996,521.3547
283.650817131996,461.9203
283.600817131996,403.5285
283.550817131996,356.6066
283.500817131996,275.2753
283.450817131996,269.019
283.400817131996,242.9513
283.350817131996,215.8409
283.300817131996,167.8762
283.250817131996,184.5596
283.200817131996,154.321
283.150817131996,182.4741
283.100817131996,149.1074
283.050817131996,145.9793
283.000817131996,155.3637
282.950817131996,148.0647
282.900817131996,137.6376
282.850817131996,129.296
282.800817131996,125.1251
282.750817131996,143.8939
282.700817131996,131.3814
282.650817131996,118.8689
282.600817131996,131.3814
282.550817131996,148.0647
282.500817131996,111.5699
282.450817131996,120.9543
282.400817131996,120.9543
282.350817131996,130.3387
282.300817131996,104.2709
282.250817131996,132.4241
282.200817131996,98.0147
282.150817131996,115.7407
282.100817131996,123.0397
282.050817131996,119.9116
282.000817131996,138.6803
281.950817131996,115.7407
281.900817131996,126.1678
281.850817131996,123.0397
281.800817131996,115.7407
281.750817131996,101.1428
281.700817131996,117.8262
281.650817131996,106.3564
281.600817131996,106.3564
281.550817131996,105.3137
281.500817131996,95.9293
281.450817131996,117.8262
281.400817131996,125.1251
281.350817131996,100.1001
281.300817131996,106.3564
281.250817131996,130.3387
281.200817131996,105.3137
281.150817131996,110.5272
281.100817131996,123.0397
281.050817131996,141.8085
281.000817131996,102.1855
280.950817131996,112.6126
280.900817131996,91.7584
280.850817131996,109.4845
280.800817131996,81.3313
280.750817131996,104.2709
280.700817131996,112.6126
280.650817131996,102.1855
280.600817131996,114.698
280.550817131996,98.0147
280.500817131996,113.6553
280.450817131996,100.1001
280.400817131996,131.3814
280.350817131996,101.1428
280.300817131996,100.1001
280.250817131996,114.698
280.200817131996,124.0824
280.150817131996,111.5699
280.100817131996,136.5949
280.050817131996,112.6126
280.000817131996,111.5699
279.950817131996,120.9543
279.900817131996,114.698
279.850817131996,109.4845
279.800817131996,111.5699
279.750817131996,114.698
279.700817131996,121.997
279.650817131996,99.0574
279.600817131996,132.4241
279.550817131996,106.3564
279.500817131996,109.4845
279.450817131996,103.2282
279.400817131996,103.2282
279.350817131996,100.1001
279.300817131996,117.8262
